No.,LOCALIDAD,TIPO DE PARQUE,NOMBRE DEL PARQUE O ESCENARIO,DIRECCIÓN,TELÉFONO DEL PARQUE,CORREO INSTITUCIONAL
184,18 - RAFAEL URIBE,ESCENARIO DEPORTIVO,GIMNASIO DEL SUR,Calle 22 Sur #21-35,(601)2780631,gimnasiosur@idrd.gov.co
185,18 - RAFAEL URIBE,ZONAL,LOS MOLINOS II,Carrera 5 con Calle 48p Bis Sur,(601)7390264,losmolinos@idrd.gov.co
186,18 - RAFAEL URIBE,ZONAL,PARQUE ESTADIO OLAYA HERRERA,Carrera 21 #26 sur-25,(601)2782692,olayaherrera@idrd.gov.co
187,18 - RAFAEL URIBE,ESCENARIO DEPORTIVO,PIJAOS JORGE E.CABALIER,Carrera 10 con Calle 34 Bis BSur,(601)3729800,pijaos@idrd.gov.co
188,18 - RAFAEL URIBE,ZONAL,QUIROGA,Calle 31B Sur #22-25,(601)2391026,quiroga@idrd.gov.co
189,18 - RAFAEL URIBE,VECINAL,SAN JOSÉ,Carrera 12D #24 sur-75,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
190,18 - RAFAEL URIBE,METROPOLITANO,SANTA LUCIA,Carrera 17 con Calle 38a Sur,,santalucia@idrd.gov.co
191,18 - RAFAEL URIBE,BOLSILLO,URBANIZACIÓN GUSTAVO RESTREPO,Calle 28a Sur #15a-10,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
192,18 - RAFAEL URIBE,VECINAL,URBANIZACIÓN LOS MOLINOS I SECTOR,Transversal 5A con Calle 48m Sur,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
193,18 - RAFAEL URIBE,VECINAL,URBANIZACIÓN MARRUECOS II SECTOR,Calle 48Q Sur #5J-86,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
194,19 - CIUDAD BOLÍVAR,ZONAL,ALTOS DE LA ESTANCIA,Carrera 76c con Diagonal 67a Sur,,altosdelaestancia@idrd.gov.co
195,19 - CIUDAD BOLÍVAR,ZONAL,ARBORIZADORA ALTA,Carrera 42 #73A Sur-1,(601)7178771,arborizadoraalta@idrd.gov.co
196,19 - CIUDAD BOLÍVAR,METROPOLITANO,ARBORIZADORA ALTA METROPOLITANO,Calle 77 Sur #33-1,,pmarborizadoraalta@idrd.gov.co
197,19 - CIUDAD BOLÍVAR,ZONAL,BUENA VISTA PORVENIR,Carrera 17f con Calle 76 Sur,,buenavistaporvenir@idrd.gov.co
198,19 - CIUDAD BOLÍVAR,ZONAL,CANDELARIA LA NUEVA,Calle 62 Sur #22i-47,(601)7151078,candelaria@idrd.gov.co
199,19 - CIUDAD BOLÍVAR,VECINAL,DESARROLLO ARBORIZADORA ALTA,Diagonal 73A Sur #36-46,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
200,19 - CIUDAD BOLÍVAR,VECINAL,DESARROLLO CARACOLI,Carrera 74b con Calle 77 Sur,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
201,19 - CIUDAD BOLÍVAR,VECINAL,DESARROLLO DOMINGO LAIN II,Diagonal 64ABIS Sur #17G-68,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
202,19 - CIUDAD BOLÍVAR,VECINAL,DESARROLLO EL PARAISO,Carrera 27q con Calle 71m Sur,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
203,19 - CIUDAD BOLÍVAR,ZONAL,EL TALLER EL ENSUEÑO,Calle 68 Sur #70d-11,,parqueelensueno@idrd.gov.co
204,19 - CIUDAD BOLÍVAR,ZONAL,ILLIMANI (PARAISO),Carrera 27b con Calle 72c Sur,(601)7653116,parqueilimani@idrd.gov.co
205,19 - CIUDAD BOLÍVAR,ZONAL,LA ESTANCIA,Carrera 74c con Calle 59 Sur,(601)7653116,estancia@idrd.gov.co
206,19 - CIUDAD BOLÍVAR,ZONAL,LA JOYA,Transversal 18i con Calle 80b sur,,lajoya@idrd.gov.co
207,19 - CIUDAD BOLÍVAR,ZONAL,MEISSEN,Calle 62 BIS Sur #16C-40,,meissen@idrd.gov.co
208,19 - CIUDAD BOLÍVAR,ZONAL,SIERRA MORENA,Diagonal 73c Sur #55-40,(601)7650034,sierramorena@idrd.gov.co
209,19 - CIUDAD BOLÍVAR,VECINAL,URBANIZACIÓN BALMORAL CESIÓN GUADALUPE,Carrera 71 con Calle 57r Sur,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co
210,19 - CIUDAD BOLÍVAR,VECINAL,URBANIZACIÓN LA CORUÑA,Calle 58C Sur #47-06,(601)6477503,reservascanchas.alcaldiamayor@idrd.gov.co%  
